id_film,id_aktor,nama_aktor
10001,8401,Bene Dion Rajagukguk; Oki Rengga; Indra Jegel; Boris Bokir
10002,8402,Laura Basuki; Juan Bione Subiantoro; Della Dartyan; Kristo Immanuel
10003,8403,Tara Basro; Bront Palarae; Dimas Aditya; Endy Arfian
10004,8404,Shenina Cinnamon; Dea Panendra; Giulio Parengkuan; Jerome Kurnia
10005,8405,Arswendy Bening Swara; Tika Panggabean; Boris Bokir; Ghita Bhebhita
10006,8406,Ringgo Agus Rahman; Nirina Zubir; Alex Abbad; Sheila Dara Aisha
10007,8407,Pevita Pearce; Ario Bayu; Christine Hakim; Jefri Nichol
10008,8408,Vino G. Bastian; Graciella Abigail; Mawar Eva de Jongh; Indro Warkop
10009,8409,Iqbaal Dhiafakhri Ramadhan; Angga Yunanda; Rachel Amanda; Umay Shahab
10010,8410,Adhisty Zara; Angga Yunanda; Cut Mini Theo; Arswendy Bening Swara
10011,8411,Dian Sastrowardoyo; Nicholas Saputra; Ladya Cheryl; Titi Kamal
10012,8412,Clara Bernadeth; Baskara Mahendra; Oka Antara; Josephine Firmstone
10013,8413,Nicholas Saputra; Ariel Tatum; Iwa K; Poppy Sovia
10014,8414,Arawinda Kirana; Asmara Abigail; Sekar Sari; Marissa Anita
10015,8415,Jessica Mila; Reza Rahadian; Yasmin Napper; Karina Suwandhi
10016,8416,Nirina Zubir; Ringgo Agus Rahman; Adhisty Zara; Widuri Sasono
10017,8417,Vino G. Bastian; Adipati Dolken; Jessica Mila; Denny Sumargo
10018,8418,Kin Wah Chew; Gisella Anastasia; Dion Wiyoko
10019,8419,Laura Basuki; Kin Wah Chew; Dion Wiyoko
10020,8420,Angga Yunanda; Putri Marino; Slamet Rahardjo; Ira Wibowo
10021,8421,Herjunot Ali; Raline Shah; Fedi Nuril; Pevita Pearce
10022,8422,Reza Rahadian; Bunga Citra Lestari; Kin Wah Chew; Atikah Suhaime
10023,8423,Marsha Timothy; Ringgo Agus Rahman; Donny Damara; Hanggini
10024,8424,Nicholas Saputra; Dian Sastrowardoyo; Titi Kamal; Adinia Wirasti
10025,8425,Dian Sastrowardoyo; Nicholas Saputra; Hannah Al Rashid; Oka Antara
10026,8426,Tatjana Saphira; Ge Pamungkas; Deva Mahenra; Ernest Prakasa
10027,8427,Nicholas Saputra; Jonathan Mulia; Thomas Nawilis; Christian Audi
10028,8428,Reza Rahadian; Bunga Citra Lestari; Tio Pakusadewo; Ratna Riantiarno
10029,8429,Tatjana Saphira; Deva Mahenra; Widyawati; Endy Arfian
10030,8430,Bayu Skak; Cut Meyriska; Brandon Salim; Joshua Suherman
10031,8431,Nicholas Saputra; Mariana Renata; Rachel Maryam Sayidina; Surya Saputra
10032,8432,Bunga Citra Lestari; Reza Rahadian; Alex Abbad; Bront Palarae
10033,8433,Angga Dwimas Sasongko; Julie Estelle; Tio Pakusadewo; Rio Dewanto; Widyawati
10034,8434,Ravi L. Bharwani; Raihaanun; Lukman Sardi; Ario Bayu; Verdi Solaiman
10035,8435,Deddy Mizwar; Syifa Hadju; Umay Shahab; Edbert Destiny
10036,8436,Vino G. Bastian; Luna Maya; Ananda Omesh; Estelle Linden
10037,8437,Putri Marino; Adipati Dolken; Gritte Agatha; Chicco Kurniawan
