id_film,id_sutradara,nama_sutradara,tahun_rilis
10001,30001,Muhadkly Acho,2024
10002,30002,Fajar Nugros,2023
10003,30003,Joko Anwar,2017
10004,30004,Wregas Bhanuteja,2021
10005,30005,Bene Dion Rajagukguk,2022
10006,30006,Yandy Laurens,2023
10007,30007,Upi Avianto,2022
10008,30008,Hanung Bramantyo,2022
10009,30009,Angga Dwimas Sasongko,2022
10010,30010,Gina S. Noer,2019
10011,30011,Rudy Soedjarwo,2002
10012,30012,Bene Dion Rajagukguk,2023
10013,30013,Rudy Soedjarwo,2022
10014,30014,Kamila Andini,2021
10015,30015,Ernest Prakasa,2019
10016,30016,Yandy Laurens,2018
10017,30017,Rako Prijanto,2022
10018,30018,Ernest Prakasa,2016
10019,30019,Ernest Prakasa,2022
10020,30020,Gina S. Noer,2021
10021,30021,Rizal Mantovani,2012
10022,30022,Upi Avianto,2019
10023,30023,Herwin Novianto,2023
10024,30024,Riri Riza,2016
10025,30025,Edwin,2018
10026,30026,Bene Dion Rajagukguk,2019
10027,30027,Riri Riza,2005
10028,30028,Faozan Rizal,2012
10029,30029,Muhadkly Acho,2022
10030,30030,Fajar Nugros,2018
10031,30031,Joko Anwar,2005
10032,30032,Upi Avianto,2016
10033,30033,Angga Dwimas Sasongko,2016
10034,30034,Thoersi Argeswara,2018
10035,30035,Herwin Novianto,2020
10036,30036,Anggy Umbara,2020
10037,30037,Edwin,2017
10038,30038,Joko Anwar,2007
10039,30039,Faozan Rizal,2020
10040,30040,Rano Karno,2020
10041,30041,Benni Setiawan,2023
10042,30042,Awi Suryadi,2022
10043,30043,Angga Dwimas Sasongko,2023
10044,30044,Hanung bramantio,2017
10045,30045,Joko Anwar,2019
10046,30046,Hadrah Daeng Ratu,2020
10047,30047,Archie Hekagery,2019
10048,30048,Garin Nugroho,2018
10049,30049,Anggy Umbara,2023
10050,30050,Ody C Harahap,2019
10051,30051,Edwin,2017
10052,30052,Azhar Kinoi Lubis,2020
